player_id,Name,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
63292,박소준,4.98,4.37,1.14,0.45,12.00%,10.60%,1.50%,0.285,1.64,0.32,61.00%,5.58,4.44,1.14
60841,박종훈,6.79,2.82,2.41,0.33,18.50%,7.70%,10.80%,0.202,1.05,0.245,73.50%,2.82,3.58,-0.76
67646,박진태,6.23,4.98,1.25,0.83,14.80%,11.80%,3.00%,0.266,1.6,0.302,67.20%,5.95,5.36,0.59
65516,배제성,8.64,5.21,1.66,0.38,21.90%,13.20%,8.70%,0.234,1.47,0.303,70.80%,3.68,3.67,0.01
77446,백정현,6.22,3.08,2.02,0.86,16.80%,8.30%,8.50%,0.24,1.24,0.271,81.40%,2.63,4.2,-1.58
50404,뷰캐넌,8.24,3,2.75,0.66,21.40%,7.80%,13.60%,0.248,1.31,0.307,75.50%,3.1,3.44,-0.34
50636,브룩스,6.35,1.85,3.44,0.46,16.50%,4.80%,11.70%,0.294,1.4,0.346,72.80%,3.35,3.19,0.15
67313,브리검,7.23,3.84,1.88,0.89,19.60%,10.40%,9.20%,0.223,1.23,0.261,76.50%,2.95,4.43,-1.48
69539,서준원,6.17,4.83,1.28,0.83,14.40%,11.30%,3.10%,0.319,1.87,0.364,59.40%,7.33,4.84,2.49
61895,서진용,8.29,5.75,1.44,1.2,20.90%,14.50%,6.40%,0.224,1.49,0.262,82.40%,3.34,5.1,-1.75
50030,소형준,6.43,3.86,1.67,0.45,16.30%,9.80%,6.50%,0.264,1.46,0.312,65.40%,4.16,3.9,0.26
69962,송명기,7.44,4.23,1.76,0.88,17.80%,10.10%,7.70%,0.29,1.66,0.344,66.40%,5.91,4.52,1.39
51136,수아레즈,9.83,3.2,3.07,0.31,26.60%,8.70%,18.00%,0.213,1.14,0.292,79.00%,2.18,2.72,-0.54
50558,스트레일리,8.91,3.64,2.45,0.65,23.00%,9.40%,13.60%,0.253,1.38,0.323,68.90%,4.02,3.59,0.43
68902,신민혁,6.64,2.73,2.43,1.06,17.10%,7.00%,10.10%,0.269,1.37,0.305,71.60%,4.41,4.35,0.06
61411,심창민,10.17,5.61,1.81,1.4,24.40%,13.40%,10.90%,0.235,1.54,0.291,71.80%,5.08,5.27,-0.19
68341,안우진,9.2,3.43,2.68,1.09,24.40%,9.10%,15.30%,0.219,1.2,0.269,75.60%,3.26,4.15,-0.89
65056,엄상백,7.69,4.78,1.61,1.2,19.70%,12.30%,7.50%,0.208,1.31,0.234,77.20%,4.1,5.07,-0.97
75421,오승환,8.23,2.31,3.56,0.43,22.50%,6.30%,16.20%,0.238,1.16,0.303,81.70%,2.02,2.95,-0.93
50859,오원석,7.77,5.97,1.3,0.9,17.90%,13.80%,4.20%,0.28,1.8,0.334,64.40%,5.89,5.12,0.77
69343,요키시,6.5,2.28,2.85,0.6,17.70%,6.20%,11.50%,0.248,1.2,0.291,73.90%,2.88,3.53,-0.65
73117,우규민,6.75,1.6,4.22,0.89,17.40%,4.10%,13.30%,0.28,1.32,0.323,75.80%,3.2,3.72,-0.52
76118,원종현,7.64,3.91,1.96,0.85,18.40%,9.40%,9.00%,0.306,1.7,0.367,76.70%,4.25,4.28,-0.04
69446,원태인,7.49,2.9,2.58,0.6,20.20%,7.80%,12.40%,0.241,1.23,0.293,76.70%,2.95,3.55,-0.59
79229,유희관,3.29,3.43,0.96,1.43,7.30%,7.60%,-0.30%,0.373,2.08,0.382,64.20%,7.71,5.9,1.81
63464,윤대경,6.26,3.94,1.59,0.93,16.00%,10.10%,5.90%,0.246,1.38,0.277,76.60%,3.94,4.78,-0.84
68619,윤중현,3.59,3.38,1.06,0.76,8.80%,8.30%,0.50%,0.277,1.48,0.292,72.90%,3.92,5.22,-1.3
65616,이민우,4.42,4.89,0.9,1.26,10.20%,11.30%,-1.10%,0.326,1.91,0.345,59.30%,8.05,6.02,2.03
50126,이민호,7.83,3.52,2.22,1.02,21.00%,9.40%,11.50%,0.213,1.17,0.249,69.30%,4.3,4.55,-0.25
68529,이승헌,4.84,6.71,0.72,0.31,11.20%,15.50%,-4.30%,0.285,1.87,0.323,67.70%,5.77,5.26,0.51
66291,이영하,6.06,6.52,0.93,1.03,14.60%,15.70%,-1.10%,0.265,1.75,0.295,64.10%,6.29,5.64,0.66
51648,이의리,8.84,5.32,1.66,0.57,23.00%,13.90%,9.20%,0.199,1.32,0.255,71.70%,3.61,3.98,-0.37
64565,이인복,6.6,2.05,3.21,0.73,16.60%,5.20%,11.40%,0.298,1.45,0.347,72.40%,4.11,3.81,0.3
60263,이재학,7.05,5.64,1.25,1.52,17.60%,14.10%,3.50%,0.237,1.52,0.258,73.80%,5.2,6.01,-0.8
69134,이정용,9.56,2.97,3.22,0.52,26.10%,8.10%,18.00%,0.212,1.12,0.28,73.60%,2.97,2.94,0.03
60768,이태양,5.38,2.78,1.94,2.17,13.60%,7.00%,6.60%,0.291,1.5,0.292,74.40%,5.73,6.18,-0.45
62754,임기영,7.59,2.65,2.87,0.88,19.50%,6.80%,12.70%,0.256,1.31,0.303,66.30%,4.88,3.97,0.91
61101,임찬규,6.65,4.07,1.63,0.69,17.30%,10.60%,6.70%,0.222,1.29,0.257,68.10%,3.87,4.27,-0.39
77318,장시환,6.13,6.26,0.98,0.52,13.70%,14.00%,-0.30%,0.302,1.96,0.35,58.30%,7.04,5.02,2.02
51895,장지훈,5.71,2.13,2.68,0.67,14.90%,5.60%,9.40%,0.263,1.28,0.298,68.00%,3.92,3.84,0.08
63950,장현식,9.39,4.93,1.9,0.82,23.80%,12.50%,11.30%,0.23,1.42,0.294,82.20%,3.29,4.14,-0.86
69159,정우영,5.68,3.6,1.58,0,15.60%,9.90%,5.70%,0.188,1.06,0.229,79.20%,2.22,3.59,-1.38
78148,정찬헌,4.64,2.13,2.19,0.47,11.90%,5.40%,6.40%,0.287,1.4,0.318,70.40%,4.01,3.8,0.21
50662,정해영,6.75,3.86,1.75,0.69,18.00%,10.30%,7.70%,0.204,1.18,0.237,85.10%,2.2,4.25,-2.04
64768,조이현,6.48,3.51,1.85,1.35,16.50%,8.90%,7.60%,0.279,1.5,0.309,62.80%,5.67,4.96,0.71
65707,주현상,5.9,3.75,1.57,1.07,15.10%,9.60%,5.50%,0.235,1.33,0.255,78.90%,3.58,4.83,-1.26
68856,최민준,6.49,5.23,1.24,1.15,15.60%,12.60%,3.00%,0.273,1.66,0.306,69.80%,5.86,5.49,0.37
67263,최원준,6.42,2.1,3.05,0.85,16.80%,5.50%,11.30%,0.256,1.24,0.291,76.30%,3.3,3.98,-0.68
65320,최원태,5.84,3.33,1.75,0.69,14.50%,8.20%,6.20%,0.281,1.51,0.319,65.10%,4.58,4.3,0.28
67421,최지광,8.59,4.73,1.81,0.88,21.20%,11.70%,9.50%,0.262,1.56,0.324,69.30%,4.91,4.34,0.57
68419,최채흥,6.03,2.72,2.22,1.18,15.20%,6.90%,8.40%,0.287,1.47,0.317,72.70%,4.56,4.6,-0.04
51722,카펜터,9.48,3.81,2.49,0.85,24.00%,9.70%,14.30%,0.229,1.31,0.291,69.10%,3.97,4.01,-0.04
69103,켈리,7.22,3.05,2.37,0.61,19.10%,8.10%,11.00%,0.238,1.24,0.285,78.00%,3.15,3.76,-0.61
69032,쿠에바스,9.3,3.46,2.69,0.71,24.00%,8.90%,15.10%,0.241,1.33,0.309,69.70%,3.91,3.45,0.46
50815,킹험,8.19,2.56,3.2,0.69,22.20%,6.90%,15.20%,0.215,1.1,0.263,71.10%,3.19,3.42,-0.23
51967,파슨스,10.02,4.26,2.35,0.61,25.60%,10.90%,14.70%,0.217,1.29,0.289,74.50%,3.72,3.61,0.11
51863,폰트,9.7,2.78,3.49,0.74,26.00%,7.50%,18.50%,0.206,1.09,0.266,66.80%,3.46,3.25,0.21
51567,프랑코,7.44,4.5,1.65,1.2,18.30%,11.10%,7.20%,0.253,1.48,0.29,67.80%,5.4,5.26,0.14
62363,한현희,6.41,3.15,2.03,0.42,16.40%,8.10%,8.30%,0.256,1.35,0.303,68.70%,3.89,3.73,0.16
61643,홍건희,9.93,3.27,3.04,0.36,27.10%,8.90%,18.20%,0.236,1.24,0.325,78.60%,2.78,2.69,0.09
